id_cp_interaction	partner_a	partner_b	protein_name_a	protein_name_b	annotation_strategy	source	is_ppi	curator	reactome_complex	reactome_reaction	reactome_pathway	complexPortal_complex	comments
	Estradiol_byHSD17B1	O75469		NR1I2_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	Pregnenolone_byCYP11A1	O75469		NR1I2_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	SerotoninDopamin_byDDC	O95264		5HT3B_HUMAN	curated	uniprot	FALSE	LGarciaAlonso					
	Acetylcholine_byCHAT	P02708		ACHA_HUMAN	curated	reactome	FALSE	LGarciaAlonso		R-HSA-629596			
	Dehydroepiandrosterone_bySTS	P03372		ESR1_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	Estradiol_byCYP19A1	P03372		ESR1_HUMAN	curated	HMRbase;reactome	FALSE	LGarciaAlonso	R-HSA-9008284				
	Estradiol_byHSD17B1	P03372		ESR1_HUMAN	curated	HMRbase;reactome	FALSE	LGarciaAlonso	R-HSA-9008284				
	Aldosterone_Corticosterone_byCYP11B2	P04150		GCR_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	Corticosterone_byCYP11B1	P04150		GCR_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	5_alpha_Dihydroprogesterone_byDHRS9	P06401		PRGR_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	Progesterone_byHSD3B1	P06401		PRGR_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	Epinephrine_byPNMT	P07550		ADRB2_HUMAN	curated	reactome	FALSE	LGarciaAlonso	R-HSA-8852028	R-HSA-9611851	R-HSA-390696		
	Noradrenaline_byDBH	P07550		ADRB2_HUMAN	curated	HMRbase;reactome	FALSE	LGarciaAlonso	R-HSA-8852028	R-HSA-9611851	R-HSA-390696		
	Acetylcholine_byCHAT	P08172		ACM2_HUMAN	curated	reactome	FALSE	LGarciaAlonso		R-HSA-390673			
	Acetylcholine_byCHAT	P08173		ACM4_HUMAN	curated	reactome	FALSE	LGarciaAlonso		R-HSA-390673			
	Aldosterone_Corticosterone_byCYP11B2	P08235		MCR_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	Corticosterone_byCYP11B1	P08235		MCR_HUMAN	curated	uniprot;PMID:3037703	FALSE	LGarciaAlonso					
	Desoxycorticosterone_byCYP21A2	P08235		MCR_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	Epinephrine_byPNMT	P08588		ADRB1_HUMAN	curated	HMRbase;reactome	FALSE	LGarciaAlonso	R-HSA-390643	R-HSA-390674	R-HSA-390696		
	Noradrenaline_byDBH	P08588		ADRB1_HUMAN	curated	HMRbase;reactome	FALSE	LGarciaAlonso	R-HSA-390643	R-HSA-390674	R-HSA-390696		
	SerotoninDopamin_byDDC	P08908		5HT1A_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-390929			
	Acetylcholine_byCHAT	P08912		ACM5_HUMAN	curated	reactome	FALSE	LGarciaAlonso		R-HSA-390649			
	Epinephrine_byPNMT	P08913		ADA2A_HUMAN	curated	reactome	FALSE	LGarciaAlonso	R-HSA-390700	R-HSA-390663	R-HSA-390696		
	Noradrenaline_byDBH	P08913		ADA2A_HUMAN	curated	reactome	FALSE	LGarciaAlonso	 R-HSA-390700	R-HSA-390663			
	Androstenedione_byCYP17A1	P10275		ANDR_HUMAN	curated	HMRbase;reactome	FALSE	LGarciaAlonso	R-HSA-5618087				
	Dihydrotestosterone_bySRD5A1	P10275		ANDR_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	Dihydrotestosterone_bySRD5A2	P10275		ANDR_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	Dihydrotestosterone_bySRD5A3	P10275		ANDR_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	Testosterone_byAKR1D1	P10275		ANDR_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	Testosterone_byHSD17B12	P10275		ANDR_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	Testosterone_byHSD17B3	P10275		ANDR_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	Triiodothyronine_byDIO3	P10827		THA_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	Lthyroxine_byTPO	P10828		THB_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	Triiodothyronine_byDIO3	P10828		THB_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	Acetylcholine_byCHAT	P11229		ACM1_HUMAN	curated	reactome	FALSE	LGarciaAlonso		R-HSA-390649			
	Calcitriol_byCYP27B1	P11473		VDR_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	Epinephrine_byPNMT	P13945		ADRB3_HUMAN	curated	reactome	FALSE	LGarciaAlonso	R-HSA-9611853	R-HSA-9611852	R-HSA-390696		
	Noradrenaline_byDBH	P13945		ADRB3_HUMAN	curated	HMRbase;reactome	FALSE	LGarciaAlonso	R-HSA-9611853	R-HSA-9611852	R-HSA-390696		
	SerotoninDopamin_byDDC	P14416		DRD2_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso					
	Epinephrine_byPNMT	P18089		ADA2B_HUMAN	curated	reactome	FALSE	LGarciaAlonso	R-HSA-390700	R-HSA-390663	R-HSA-390696		
	Noradrenaline_byDBH	P18089		ADA2B_HUMAN	curated	reactome	FALSE	LGarciaAlonso	 R-HSA-390700	R-HSA-390663			
	Epinephrine_byPNMT	P18825		ADA2C_HUMAN	curated	reactome	FALSE	LGarciaAlonso	R-HSA-390700	R-HSA-390663	R-HSA-390696		
	Noradrenaline_byDBH	P18825		ADA2C_HUMAN	curated	reactome	FALSE	LGarciaAlonso	 R-HSA-390700	R-HSA-390663			
	Acetylcholine_byCHAT	P20309		ACM3_HUMAN	curated	reactome	FALSE	LGarciaAlonso		R-HSA-390649			
	2arachidonoylglycerol_byDAGLA	P21554		CNR1_HUMAN	curated	reactome	FALSE	LGarciaAlonso		R-HSA-419426			
	2arachidonoylglycerol_byDAGLB	P21554		CNR1_HUMAN	curated	reactome	FALSE	LGarciaAlonso		R-HSA-419426			
	SerotoninDopamin_byDDC	P21728		DRD1_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso					
	ThromboxaneA2_byTBXAS1	P21731		TA2R_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-391939			
	SerotoninDopamin_byDDC	P21917		DRD4_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso					
	SerotoninDopamin_byDDC	P21918		DRD5_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso					
	Histamine_byHDC	P25021		HRH2_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-390909			
	LipoxinA4_ALOX12	P25090		FPR2_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	LipoxinA4_byALOX5	P25090		FPR2_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	Epinephrine_byPNMT	P25100		ADA1D_HUMAN	curated	reactome	FALSE	LGarciaAlonso		R-HSA-390641			
	Noradrenaline_byDBH	P25100		ADA1D_HUMAN	curated	HMRbase;reactome	FALSE	LGarciaAlonso	R-HSA-390633	R-HSA-390641	R-HSA-390696		
	SerotoninDopamin_byDDC	P28221		5HT1D_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-390929			
	SerotoninDopamin_byDDC	P28222		5HT1B_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-390929			
	SerotoninDopamin_byDDC	P28223		5HT2A_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-390930			
	SerotoninDopamin_byDDC	P28335		5HT2C_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-390930			
	SerotoninDopamin_byDDC	P28566		5HT1E_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-390929			
	SerotoninDopamin_byDDC	P30939		5HT1F_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-390929			
	SerotoninDopamin_byDDC	P34969		5HT7R_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-390931			
	2arachidonoylglycerol_byDAGLA	P34972		CNR2_HUMAN	curated	reactome	FALSE	LGarciaAlonso		R-HSA-419426			
	2arachidonoylglycerol_byDAGLB	P34972		CNR2_HUMAN	curated	reactome	FALSE	LGarciaAlonso		R-HSA-419426			
	ProstaglandinE2_byPTGES	P34995		PE2R1_HUMAN	curated	HMRbase;reactome;uniprot	FALSE	LGarciaAlonso	R-HSA-391920	R-HSA-391936			
	ProstaglandinE2_byPTGES2	P34995		PE2R1_HUMAN	curated	HMRbase;reactome;uniprot	FALSE	LGarciaAlonso	R-HSA-391920	R-HSA-391936			
	ProstaglandinE2_byPTGES3	P34995		PE2R1_HUMAN	curated	HMRbase;reactome;uniprot	FALSE	LGarciaAlonso	R-HSA-391920	R-HSA-391936			
	Epinephrine_byPNMT	P35348		ADA1A_HUMAN	curated	reactome	FALSE	LGarciaAlonso		R-HSA-390641			
	Noradrenaline_byDBH	P35348		ADA1A_HUMAN	curated	HMRbase;reactome	FALSE	LGarciaAlonso	R-HSA-390633	R-HSA-390641	R-HSA-390696		
	Histamine_byHDC	P35367		HRH1_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-390912			
	Epinephrine_byPNMT	P35368		ADA1B_HUMAN	curated	reactome	FALSE	LGarciaAlonso		R-HSA-390641			
	Noradrenaline_byDBH	P35368		ADA1B_HUMAN	curated	HMRbase;reactome	FALSE	LGarciaAlonso	R-HSA-390633	R-HSA-390641	R-HSA-390696		
	Cholesterol_byCEL	P35398		RORA_HUMAN	curated	HMRbase;PMID:12467577;PDB:1N83	FALSE	LGarciaAlonso					
	Cholesterol_byDHCR24	P35398		RORA_HUMAN	curated	HMRbase;PMID:12467577;PDB:1N83	FALSE	LGarciaAlonso					
	Cholesterol_byDHCR7	P35398		RORA_HUMAN	curated	HMRbase;PMID:12467577;PDB:1N83	FALSE	LGarciaAlonso					
	Cholesterol_byLIPA	P35398		RORA_HUMAN	curated	HMRbase;PMID:12467577;PDB:1N83	FALSE	LGarciaAlonso					
	ProstaglandinE2_byPTGES	P35408		PE2R4_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	ProstaglandinE2_byPTGES2	P35408		PE2R4_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	ProstaglandinE2_byPTGES3	P35408		PE2R4_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	SerotoninDopamin_byDDC	P35462		DRD3_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso					
	Acetylcholine_byCHAT	P36544		ACHA7_HUMAN	curated	reactome	FALSE	LGarciaAlonso		R-HSA-629596			
	DHEAsulfate_bySULT1E1	P37231		PPARG_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	DHEAsulfate_bySULT2A1	P37231		PPARG_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	DHEAsulfate_bySULT2B	P37231		PPARG_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	SerotoninDopamin_byDDC	P41595		5HT2B_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-390930			
	ProstaglandinF2a_byAKR1B1	P43088		PF2R_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-416929			
	ProstaglandinF2a_byCBR1	P43088		PF2R_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-416929			
	ProstaglandinF2a_byPRXL2B	P43088		PF2R_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-416929			
	ProstaglandinE2_byPTGES	P43115		PE2R3_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	ProstaglandinE2_byPTGES2	P43115		PE2R3_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	ProstaglandinE2_byPTGES3	P43115		PE2R3_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	ProstaglandinE2_byPTGES	P43116		PE2R2_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	ProstaglandinE2_byPTGES2	P43116		PE2R2_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	ProstaglandinE2_byPTGES3	P43116		PE2R2_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	Prostacyclin_byPTGIS	P43119		PI2R_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-391942			
	SerotoninDopamin_byDDC	P46098		5HT3A_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	SerotoninDopamin_byDDC	P47898		5HT5A_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-390929			
	Melatonin_byASMT	P48039		MTR1A_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso	R-HSA-419365	R-HSA-419334			
	Melatonin_byASMT	P49286		MTR1B_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso	R-HSA-419365	R-HSA-419334			
	SerotoninDopamin_byDDC	P50406		5HT6R_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-390931			
	Cholesterol_byCEL	P51449		RORG_HUMAN	curated	uniprot	FALSE	LGarciaAlonso					
	Cholesterol_byDHCR24	P51449		RORG_HUMAN	curated	uniprot	FALSE	LGarciaAlonso					
	Cholesterol_byDHCR7	P51449		RORG_HUMAN	curated	uniprot	FALSE	LGarciaAlonso					
	Cholesterol_byLIPA	P51449		RORG_HUMAN	curated	uniprot	FALSE	LGarciaAlonso					
	Desmosterol_byDHCR7	P55055		NR1H2_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	DHEAsulfate_bySULT1E1	Q03181		PPARD_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	DHEAsulfate_bySULT2A1	Q03181		PPARD_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	DHEAsulfate_bySULT2B	Q03181		PPARD_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	Dehydroepiandrosterone_bySTS	Q07869		PPARA_HUMAN	curated	HMRbase;PMID:18079279	FALSE	LGarciaAlonso					
	DHEAsulfate_bySULT1E1	Q07869		PPARA_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	DHEAsulfate_bySULT2A1	Q07869		PPARA_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	DHEAsulfate_bySULT2B	Q07869		PPARA_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	Desmosterol_byDHCR7	Q13133		NR1H3_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	ProstaglandinD2_byAKR1C3	Q13258		PD2R_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso	R-HSA-416920	R-HSA-391935			
	LeukotrieneB4_byLTA4H	Q13304		GPR17_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-391937			
	LeukotrieneC4_byLTC4S	Q13304		GPR17_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-391937			
	LeukotrieneD4_byGGT1	Q13304		GPR17_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-391937			
	SerotoninDopamin_byDDC	Q13639		5HT4R_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-390931			
	12oxoLeukotrieneB4_byPTGR1	Q15722		LT4R1_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso	R-HSA-416435	R-HSA-391941			
	LeukotrieneB4_byLTA4H	Q15722		LT4R1_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-391941			
	SerotoninDopamin_byDDC	Q70Z44		5HT3D_HUMAN	curated	uniprot	FALSE	LGarciaAlonso					
	5S_HpETE_byALOX5	Q8TDS5		OXER1_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso		R-HSA-391905			
	SerotoninDopamin_byDDC	Q8WXA8		5HT3C_HUMAN	curated	uniprot	FALSE	LGarciaAlonso					
	Estradiol_byCYP19A1	Q92731		ESR2_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	Estradiol_byHSD17B1	Q92731		ESR2_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A1	Q92753		RORB_HUMAN	curated	uniprot	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A2	Q92753		RORB_HUMAN	curated	uniprot	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A3	Q92753		RORB_HUMAN	curated	uniprot	FALSE	LGarciaAlonso					
	22Hydroxycholesterol_byCYP11A1	Q96RI1		NR1H4_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	22Hydroxycholesterol_byCYP3A4	Q96RI1		NR1H4_HUMAN	curated	HMRbase;uniprot	FALSE	LGarciaAlonso					
	Androsterone_byHSD17B6	Q96RI1		NR1H4_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	Estradiol_byCYP19A1	Q99527		GPER1_HUMAN	curated	reactome;uniprot	FALSE	LGarciaAlonso		R-HSA-374207			
	Estradiol_byHSD17B1	Q99527		GPER1_HUMAN	curated	reactome;uniprot	FALSE	LGarciaAlonso		R-HSA-374207			
	Histamine_byHDC	Q9H3N8		HRH4_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-390886			
	12oxoLeukotrieneB4_byPTGR1	Q9NPC1		LT4R2_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso	R-HSA-416435	R-HSA-391941			
	LeukotrieneB4_byLTA4H	Q9NPC1		LT4R2_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-391941			
	LeukotrieneC4_byLTC4S	Q9NS75		CLTR2_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-391943			
	LeukotrieneD4_byGGT1	Q9NS75		CLTR2_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-391943			
	LeukotrieneC4_byLTC4S	Q9Y271		CLTR1_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-391943			
	LeukotrieneD4_byGGT1	Q9Y271		CLTR1_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-391943			
	LeukotrieneE4_byDPEP1	Q9Y271		CLTR1_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-391943			
	LeukotrieneE4_byDPEP2	Q9Y271		CLTR1_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-391943			
	LeukotrieneE4_byDPEP3	Q9Y271		CLTR1_HUMAN	curated	HMRbase;uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-391943			
	LipoxinA4_ALOX12	Q9Y271		CLTR1_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	LipoxinA4_byALOX5	Q9Y271		CLTR1_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	2arachidonoylglycerol_byDAGLA	Q9Y2T6		GPR55_HUMAN	curated	reactome	FALSE	LGarciaAlonso		R-HSA-419426			
	2arachidonoylglycerol_byDAGLB	Q9Y2T6		GPR55_HUMAN	curated	reactome	FALSE	LGarciaAlonso		R-HSA-419426			
	Histamine_byHDC	Q9Y5N1		HRH3_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-390886			
	ProstaglandinD2_byAKR1C3	Q9Y5Y4		PD2R2_HUMAN	curated	uniprot;reactome	FALSE	LGarciaAlonso	R-HSA-416875	R-HSA-391934			
	atRetinoicAcid_byALDH1A1	RAreceptor_RXRA			curated	uniprot;reactome	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A1	RAreceptor_RXRB			curated	uniprot;reactome	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A1	RAreceptor_RXRG			curated	uniprot;reactome	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A1	RAreceptor_RARA			curated	uniprot;reactome	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A1	RAreceptor_RARB			curated	uniprot;reactome	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A1	RAreceptor_RARG			curated	uniprot;reactome	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A2	RAreceptor_RXRA			curated	uniprot;reactome	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A2	RAreceptor_RXRB			curated	uniprot;reactome	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A2	RAreceptor_RXRG			curated	uniprot;reactome	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A2	RAreceptor_RARA			curated	uniprot;reactome	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A2	RAreceptor_RARB			curated	uniprot;reactome	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A2	RAreceptor_RARG			curated	uniprot;reactome	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A3	RAreceptor_RXRA			curated	uniprot;reactome	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A3	RAreceptor_RXRB			curated	uniprot;reactome	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A3	RAreceptor_RXRG			curated	uniprot;reactome	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A3	RAreceptor_RARA			curated	uniprot;reactome	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A3	RAreceptor_RARB			curated	uniprot;reactome	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A3	RAreceptor_RARG			curated	uniprot;reactome	FALSE	LGarciaAlonso					
	atRetinoicAcid_byALDH1A1	RAreceptor_RARA_RXRA			curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-5334854			
	atRetinoicAcid_byALDH1A2	RAreceptor_RARA_RXRA			curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-5334854			
	atRetinoicAcid_byALDH1A3	RAreceptor_RARA_RXRA			curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-5334854			
	atRetinoicAcid_byALDH1A1	RAreceptor_RARB_RXRB			curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-5334854			
	atRetinoicAcid_byALDH1A2	RAreceptor_RARB_RXRB			curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-5334854			
	atRetinoicAcid_byALDH1A3	RAreceptor_RARB_RXRB			curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-5334854			
	atRetinoicAcid_byALDH1A1	RAreceptor_RARG_RXRG			curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-5334854			
	atRetinoicAcid_byALDH1A2	RAreceptor_RARG_RXRG			curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-5334854			
	atRetinoicAcid_byALDH1A3	RAreceptor_RARG_RXRG			curated	uniprot;reactome	FALSE	LGarciaAlonso		R-HSA-5334854			
	O95715	P61073	CXL14_HUMAN	CXCR4_HUMAN	curated	PMID:32212206	TRUE	LGarciaAlonso					
	O43914	P16070	SIG15_HUMAN	TYOBP_HUMAN	curated	PMID:31900164	TRUE	LGarciaAlonso					
	Q6ZMC9	P16070	SIG15_HUMAN	CD44_HUMAN	curated	PMID:31900164	TRUE	LGarciaAlonso					
	Q96CM4	SLC16A1_complex	NXNL1_HUMAN		curated	uniprot;PMID:25957687	TRUE	LGarciaAlonso					
	P62937	P35613	PPIA_HUMAN	BASI_HUMAN	curated	reactome	TRUE	LGarciaAlonso		R-HSA-204485			
	P01185	P47901	NEU2_HUMAN	V1BR_HUMAN	curated	reactome	TRUE	LGarciaAlonso		R-HSA-388468			
	P01185	P37288	NEU2_HUMAN	V1AR_HUMAN	curated	reactome	TRUE	LGarciaAlonso		R-HSA-388468			
	P01185	P30518	NEU2_HUMAN	V2R_HUMAN	curated	reactome	TRUE	LGarciaAlonso		R-HSA-392263			
	P02647	CUBN_AMN_complex	APOA1_HUMAN		curated	reactome	TRUE	LGarciaAlonso		R-HSA-264848			
	P10997	AMY3_receptor	IAPP_HUMAN		curated	reactome	TRUE	LGarciaAlonso		R-HSA-420265			
	P10997	AMY2_receptor	IAPP_HUMAN		curated	reactome	TRUE	LGarciaAlonso		R-HSA-420265			
	P10997	AMY1_receptor	IAPP_HUMAN		curated	reactome	TRUE	LGarciaAlonso		R-HSA-420265			
